Regional,Tipologia de Ocorrência,Ocorrências
Todas,Risco de Desabamento,457
Todas,Outros,45
Todas,Inundação,79
Todas,Desabamento,68
Todas,Alagamento,60
SR 9,Inundação,12
SR 9,Alagamento,4
SR 9,Desabamento,3
SR 9,Outros,2
SR 9,Risco de Desabamento,12
SR 8,Risco de Desabamento,39
SR 8,Outros,3
SR 8,Inundação,6
SR 8,Desabamento,2
SR 8,Alagamento,5
SR 7,Inundação,3
SR 7,Alagamento,11
SR 7,Desabamento,4
SR 7,Risco de Desabamento,23
SR 7,Outros,2
SR 6,Risco de Desabamento,34
SR 6,Outros,3
SR 6,Inundação,6
SR 6,Desabamento,4
SR 6,Alagamento,8
SR 5,Risco de Desabamento,14
SR 5,Outros,0
SR 5,Inundação,5
SR 5,Desabamento,1
SR 5,Alagamento,1
SR 4,Outros,8
SR 4,Risco de Desabamento,59
SR 4,Inundação,6
SR 4,Alagamento,6
SR 4,Desabamento,18
SR 3,Risco de Desabamento,44
SR 3,Outros,2
SR 3,Inundação,10
SR 3,Desabamento,7
SR 3,Alagamento,8
SR 2,Risco de Desabamento,75
SR 2,Outros,9
SR 2,Inundação,5
SR 2,Desabamento,4
SR 2,Alagamento,8
SR 12,Desabamento,7
SR 12,Inundação,0
SR 12,Alagamento,1
SR 12,Outros,3
SR 12,Risco de Desabamento,45
SR 11,Risco de Desabamento,37
SR 11,Outros,4
SR 11,Inundação,21
SR 11,Desabamento,5
SR 11,Alagamento,3
SR 10,Risco de Desabamento,25
SR 10,Outros,6
SR 10,Inundação,4
SR 10,Desabamento,2
SR 10,Alagamento,2
SR 1,Outros,3
SR 1,Inundação,1
SR 1,Desabamento,11
SR 1,Risco de Desabamento,50
SR 1,Alagamento,3
